code_v2013,code_v2016,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT111,AT111,AT111AT111,703.2,37575.5,37553.6,4742.0,4477.0
AT112,AT112,AT112AT112,1793.4,159398.9,150342.6,16202.0,15595.0
AT113,AT113,AT113AT113,1468.9,97342.3,97660.9,12012.0,11324.0
AT121,AT121,AT121AT121,3359.7,247524.4,241186.7,25655.0,23717.0
AT122,AT122,AT122AT122,3374.5,260666.8,252757.4,25373.0,24129.0
AT123,AT123,AT123AT123,1233.1,155866.9,148777.3,14386.0,13727.0
AT124,AT124,AT124AT124,4616.3,218091.2,219385.9,27850.0,26577.0
AT125,AT125,AT125AT125,2410.8,125194.6,123380.5,16997.0,15959.0
AT126,AT126,AT126AT126,2725.1,331429.1,309372.2,31398.0,30382.0
AT127,AT127,AT127AT127,1476.0,345391.6,324445.9,26124.0,25385.0
AT130,AT130,AT130AT130,413.5,1890300.2,1709545.0,26426.0,26280.0
AT211,AT211,AT211AT211,2030.6,287125.0,276703.3,23231.0,21836.0
AT212,AT212,AT212AT212,4135.7,124451.6,127181.8,14015.0,13156.0
AT213,AT213,AT213AT213,3376.4,149677.8,152438.0,17494.0,15462.0
AT221,AT221,AT221AT221,1214.7,443343.8,405203.2,23259.0,22461.0
AT222,AT222,AT222AT222,3319.1,80068.4,80055.7,10550.0,9737.0
AT223,AT223,AT223AT223,3207.2,159277.0,163888.5,14813.0,14114.0
AT224,AT224,AT224AT224,3339.0,267586.1,264819.6,28124.0,25519.0
AT225,AT225,AT225AT225,2272.4,194914.8,192176.9,20131.0,18938.0
AT226,AT226,AT226AT226,3060.6,100003.4,102819.0,11154.0,10245.0
AT311,AT311,AT311AT311,2821.7,288730.0,276149.6,30346.0,28431.0
AT312,AT312,AT312AT312,1745.7,590923.0,551817.4,34520.0,33333.0
AT313,AT313,AT313AT313,2660.7,209906.0,204107.5,21122.0,20115.0
AT314,AT314,AT314AT314,2239.7,155028.7,152591.6,14184.0,13491.0
AT315,AT315,AT315AT315,2517.0,238263.6,229601.2,21002.0,19774.0
AT321,AT321,AT321AT321,1020.7,20352.8,20490.3,3213.0,2874.0
AT322,AT322,AT322AT322,4397.8,168262.1,162614.8,19204.0,17658.0
AT323,AT323,AT323AT323,1740.4,363729.3,345950.3,18805.0,18145.0
AT331,AT331,AT331AT331,1237.3,32766.6,31610.4,4341.0,4240.0
AT332,AT332,AT332AT332,2096.1,311784.6,286637.8,12169.0,11800.0
AT333,AT333,AT333AT333,2021.5,48832.5,49303.9,4925.0,4720.0
AT334,AT334,AT334AT334,3320.4,104502.4,100110.0,11900.0,11479.0
AT335,AT335,AT335AT335,3974.1,257484.0,241903.0,21352.0,20387.0
AT341,AT341,AT341AT341,1874.6,91608.8,87064.8,8439.0,7613.0
AT342,AT342,AT342AT342,745.8,303225.3,283342.7,13566.0,12918.0
BE100,BE100,BE100BE100,162.5,1195870.1,1133134.2,14134.0,14068.0
BE211,BE211,BE211BE211,1003.5,1045645.5,1003381.4,51045.0,50401.0
BE212,BE212,BE212BE212,511.9,344431.2,329109.5,20139.0,19599.0
BE213,BE213,BE213BE213,1359.6,459033.8,439920.7,38428.0,37362.0
BE221,BE221,BE221BE221,908.9,427340.6,412628.6,32977.0,32244.0
BE222,BE222,BE222BE222,885.6,241442.8,234600.1,22305.0,21762.0
BE223,BE223,BE223BE223,633.5,204765.9,200120.7,15500.0,14790.0
BE231,BE231,BE231BE231,472.9,289353.7,276711.8,16001.0,15545.0
BE232,BE232,BE232BE232,346.7,200544.2,194463.1,11874.0,11462.0
BE233,BE233,BE233BE233,335.7,84513.9,82556.0,6905.0,6590.0
BE234,BE234,BE234BE234,949.6,556935.9,534152.7,36163.0,34993.0
BE235,BE235,BE235BE235,422.9,123802.2,120446.1,9132.0,8694.0
BE236,BE236,BE236BE236,480.1,250575.8,239039.1,17414.0,16467.0
BE241,BE241,BE241BE241,949.5,637282.7,603396.7,36578.0,35732.0
BE242,BE242,BE242BE242,1169.2,505351.3,487578.4,34726.0,33773.0
